feature,level,n,wins,places,win_rate_pct,place_rate_pct,win_lift,place_lift
騎練拍檔過往合作次數,322,68,6,16,8.8,23.5,1.069,0.969
騎練拍檔過往合作次數,323,72,6,14,8.3,19.4,1.042,0.81
騎練拍檔過往合作次數,324,73,4,15,5.5,20.5,0.706,0.883
騎練拍檔過往合作次數,325,65,4,18,6.2,27.7,0.774,1.161
騎練拍檔過往合作次數,326,59,5,11,8.5,18.6,1.085,0.796
騎練拍檔過往合作次數,327,67,6,14,9.0,20.9,1.164,0.905
騎練拍檔過往合作次數,328,64,8,19,12.5,29.7,1.613,1.291
騎練拍檔過往合作次數,329,63,5,15,7.9,23.8,1.008,1.022
騎練拍檔過往合作次數,330,66,6,15,9.1,22.7,1.14,0.96
騎練拍檔過往合作次數,331,60,6,17,10.0,28.3,1.285,1.214
騎練拍檔過往合作次數,332,59,6,14,10.2,23.7,1.311,1.019
騎練拍檔過往合作次數,333,66,2,13,3.0,19.7,0.378,0.82
騎練拍檔過往合作次數,334,70,5,15,7.1,21.4,0.892,0.892
騎練拍檔過往合作次數,335,59,4,13,6.8,22.0,0.889,0.963
騎練拍檔過往合作次數,336,53,4,15,7.6,28.3,0.993,1.241
騎練拍檔過往合作次數,337,63,5,14,7.9,22.2,1.017,0.95
騎練拍檔過往合作次數,338,63,3,12,4.8,19.0,0.595,0.794
騎練拍檔過往合作次數,339,58,6,19,10.3,32.8,1.33,1.404
騎練拍檔過往合作次數,340,72,7,14,9.7,19.4,1.225,0.817
騎練拍檔過往合作次數,341,71,16,20,22.5,28.2,2.857,1.191
騎練拍檔過往合作次數,342,71,10,20,14.1,28.2,1.799,1.211
騎練拍檔過往合作次數,343,70,8,17,11.4,24.3,1.463,1.037
騎練拍檔過往合作次數,344,63,5,17,7.9,27.0,1.002,1.148
騎練拍檔過往合作次數,345,64,6,20,9.4,31.2,1.197,1.33
騎練拍檔過往合作次數,346,58,4,11,6.9,19.0,0.89,0.816
騎練拍檔過往合作次數,347,57,7,18,12.3,31.6,1.598,1.37
騎練拍檔過往合作次數,348,68,6,19,8.8,27.9,1.119,1.181
騎練拍檔過往合作次數,349,62,9,20,14.5,32.3,1.872,1.387
騎練拍檔過往合作次數,350,62,6,12,9.7,19.4,1.205,0.814
騎練拍檔過往合作次數,351,57,3,17,5.3,29.8,0.624,1.263
騎練拍檔過往合作次數,352,56,3,12,5.4,21.4,0.682,0.923
騎練拍檔過往合作次數,353,62,9,16,14.5,25.8,1.85,1.096
騎練拍檔過往合作次數,354,59,6,14,10.2,23.7,1.239,0.975
騎練拍檔過往合作次數,356,54,3,12,5.6,22.2,0.704,0.951
騎練拍檔過往合作次數,357,56,9,21,16.1,37.5,2.06,1.602
騎練拍檔過往合作次數,358,55,6,12,10.9,21.8,1.316,0.878
騎練拍檔過往合作次數,359,59,8,13,13.6,22.0,1.739,0.942
騎練拍檔過往合作次數,360,52,6,11,11.5,21.2,1.417,0.88
騎練拍檔過往合作次數,361,57,7,13,12.3,22.8,1.515,0.949
騎練拍檔過往合作次數,362,56,5,17,8.9,30.4,1.15,1.303
騎練拍檔過往合作次數,363,63,5,15,7.9,23.8,1.008,1.019
騎練拍檔過往合作次數,364,50,6,13,12.0,26.0,1.42,1.056
騎練拍檔過往合作次數,367,51,4,16,7.8,31.4,1.04,1.387
騎練拍檔過往合作次數,368,55,4,12,7.3,21.8,0.902,0.914
騎練拍檔過往合作次數,369,56,4,22,7.1,39.3,0.895,1.641
騎練拍檔過往合作次數,370,50,7,13,14.0,26.0,1.753,1.085
騎練拍檔過往合作次數,371,51,6,14,11.8,27.4,1.452,1.129
騎練拍檔過往合作次數,372,51,3,13,5.9,25.5,0.75,1.084
騎練拍檔過往合作次數,373,58,5,18,8.6,31.0,1.101,1.322
騎練拍檔過往合作次數,374,50,5,10,10.0,20.0,1.267,0.857
騎練拍檔過往合作次數,377,51,6,14,11.8,27.4,1.468,1.142
騎練拍檔過往合作次數,380,57,4,14,7.0,24.6,0.879,1.025
騎練拍檔過往合作次數,383,53,5,17,9.4,32.1,1.184,1.342
騎練拍檔過往合作次數,403,50,5,9,10.0,18.0,1.278,0.767
騎練拍檔過往合作次數,404,51,7,14,13.7,27.4,1.698,1.132
going 場地狀況,GOOD,75179,5934,17722,7.9,23.6,1.002,1.001
going 場地狀況,GOOD TO FIRM,29018,2256,6738,7.8,23.2,1.002,1.001
going 場地狀況,GOOD TO YIELDING,4866,385,1149,7.9,23.6,1.003,1.002
going 場地狀況,WET SLOW,2284,184,552,8.1,24.2,1.0,1.0
going 場地狀況,YIELDING,1695,133,396,7.8,23.4,1.0,1.003
going 場地狀況,FAST,1176,94,282,8.0,24.0,1.0,1.0
going 場地狀況,SOFT,507,40,120,7.9,23.7,1.0,1.0
going 場地狀況,WET FAST,351,29,87,8.3,24.8,1.0,1.0
going 場地狀況,YIELDING TO SOFT,266,21,62,7.9,23.3,1.0,1.0
going 場地狀況,SLOW,187,15,45,8.0,24.1,1.0,1.0
going 場地狀況,SEALED,50,4,12,8.0,24.0,1.0,1.0
rail 欄位,A,23644,1827,5465,7.7,23.1,1.001,1.001
rail 欄位,C+3,19316,1516,4518,7.8,23.4,1.003,1.001
rail 欄位,C,17741,1404,4185,7.9,23.6,1.002,1.001
rail 欄位,B+2,14320,1107,3311,7.7,23.1,1.001,1.001
rail 欄位,A+3,13326,1035,3098,7.8,23.2,1.0,1.001
rail 欄位,B,7741,616,1831,8.0,23.6,1.002,1.002
surface 場地,TURF,96088,7505,22408,7.8,23.3,1.002,1.001
surface 場地,ALL WEATHER TRACK,19517,1592,4763,8.2,24.4,1.002,1.0
班次,Class 4,43689,3317,9952,7.6,22.8,1.001,1.001
班次,Class 3,34731,2695,8074,7.8,23.2,1.002,1.001
班次,Class 5,15055,1137,3405,7.6,22.6,1.002,1.0
班次,Class 2,10961,896,2676,8.2,24.4,1.002,1.001
班次,Class 1,2886,264,763,9.2,26.4,1.008,1.001
班次,Group One,1840,176,521,9.6,28.3,1.0,1.002
班次,Hong Kong Group Three,1056,91,272,8.6,25.8,1.0,1.004
班次,Group Three,1002,110,316,11.0,31.5,1.0,1.003
班次,Griffin Race,954,105,286,11.0,30.0,1.0,1.0
班次,Group Two,896,90,264,10.0,29.5,1.011,1.004
班次,Hong Kong Group One,689,61,183,8.8,26.6,1.0,1.005
班次,Class 4 (Restricted),493,40,120,8.1,24.3,1.0,1.0
班次,Hong Kong Group Two,369,34,101,9.2,27.4,1.0,1.0
班次,4 Year Olds,357,27,81,7.6,22.7,1.0,1.0
班次,Restricted Race,176,19,52,10.8,29.6,1.0,1.0
班次,Class 4 (Special Condition),112,8,24,7.1,21.4,1.0,1.0
