rid,date,venue,season,fs,cost,ret,win_pairs,n_in,hit,real
2021-01-24_ST_1,2021-01-24,ST,2020-21,14,60.0,223.16608396273358,3,3,1,False
2021-01-24_ST_10,2021-01-24,ST,2020-21,14,60.0,38.197625190015266,1,2,1,False
2021-01-24_ST_2,2021-01-24,ST,2020-21,14,60.0,0.0,0,0,0,False
2021-01-24_ST_3,2021-01-24,ST,2020-21,14,60.0,58.957867591740914,1,2,1,False
2021-01-24_ST_4,2021-01-24,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-24_ST_5,2021-01-24,ST,2020-21,11,60.0,0.0,0,1,0,False
2021-01-24_ST_6,2021-01-24,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-24_ST_7,2021-01-24,ST,2020-21,8,60.0,199.01362374034474,3,3,1,False
2021-01-24_ST_8,2021-01-24,ST,2020-21,12,60.0,119.42066641221977,1,2,1,False
2021-01-24_ST_9,2021-01-24,ST,2020-21,14,60.0,136.49489116990176,1,2,1,False
2021-01-27_HV_1,2021-01-27,HV,2020-21,12,60.0,138.00398401103644,3,3,1,False
2021-01-27_HV_2,2021-01-27,HV,2020-21,12,60.0,81.11703243736812,1,2,1,False
2021-01-27_HV_3,2021-01-27,HV,2020-21,12,60.0,48.987305208462374,1,2,1,False
2021-01-27_HV_4,2021-01-27,HV,2020-21,12,60.0,26.86326847299174,1,2,1,False
2021-01-27_HV_5,2021-01-27,HV,2020-21,11,60.0,39.331150795848544,1,2,1,False
2021-01-27_HV_6,2021-01-27,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-01-27_HV_7,2021-01-27,HV,2020-21,12,60.0,56.83846646529035,1,2,1,False
2021-01-27_HV_8,2021-01-27,HV,2020-21,11,60.0,48.88117924483522,1,2,1,False
2021-01-27_HV_9,2021-01-27,HV,2020-21,12,60.0,148.54107751939068,3,3,1,False
2021-01-31_ST_1,2021-01-31,ST,2020-21,14,60.0,235.8853959231626,3,3,1,False
2021-01-31_ST_10,2021-01-31,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-31_ST_2,2021-01-31,ST,2020-21,14,60.0,93.13891434635141,1,2,1,False
2021-01-31_ST_3,2021-01-31,ST,2020-21,12,60.0,155.3686447895595,3,3,1,False
2021-01-31_ST_4,2021-01-31,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-31_ST_5,2021-01-31,ST,2020-21,12,60.0,0.0,0,0,0,False
2021-01-31_ST_6,2021-01-31,ST,2020-21,14,60.0,205.9323148744726,3,3,1,False
2021-01-31_ST_7,2021-01-31,ST,2020-21,10,60.0,100.78999260171297,3,3,1,False
2021-01-31_ST_8,2021-01-31,ST,2020-21,14,60.0,164.56700035235286,3,3,1,False
2021-01-31_ST_9,2021-01-31,ST,2020-21,14,60.0,58.9061490161629,1,2,1,False
2021-02-03_HV_1,2021-02-03,HV,2020-21,12,60.0,66.33909971784813,1,2,1,False
2021-02-03_HV_2,2021-02-03,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-02-03_HV_3,2021-02-03,HV,2020-21,12,60.0,170.62462186927257,3,3,1,False
2021-02-03_HV_4,2021-02-03,HV,2020-21,12,60.0,64.30738251230615,1,2,1,False
2021-02-03_HV_5,2021-02-03,HV,2020-21,12,60.0,29.230288486395185,1,2,1,False
2021-02-03_HV_6,2021-02-03,HV,2020-21,10,60.0,0.0,0,1,0,False
2021-02-03_HV_7,2021-02-03,HV,2020-21,12,60.0,27.030672362692766,1,2,1,False
2021-02-03_HV_8,2021-02-03,HV,2020-21,12,60.0,61.296528572628574,1,2,1,False
2021-02-03_HV_9,2021-02-03,HV,2020-21,12,60.0,117.06692285638029,3,3,1,False
2021-02-06_ST_1,2021-02-06,ST,2020-21,12,60.0,0.0,0,1,0,False
2021-02-06_ST_10,2021-02-06,ST,2020-21,13,60.0,93.32177358305958,3,3,1,False
2021-02-06_ST_2,2021-02-06,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-02-06_ST_3,2021-02-06,ST,2020-21,8,60.0,0.0,0,1,0,False
2021-02-06_ST_4,2021-02-06,ST,2020-21,12,60.0,83.17102302784012,1,2,1,False
2021-02-06_ST_5,2021-02-06,ST,2020-21,14,60.0,55.06537736454333,1,2,1,False
2021-02-06_ST_6,2021-02-06,ST,2020-21,13,60.0,60.66237428884921,1,2,1,False
2021-02-06_ST_7,2021-02-06,ST,2020-21,10,60.0,42.17131476950693,1,2,1,False
2021-02-06_ST_8,2021-02-06,ST,2020-21,11,60.0,76.45767801389064,1,2,1,False
2021-02-06_ST_9,2021-02-06,ST,2020-21,12,60.0,41.4696530817584,1,2,1,False
2021-02-10_HV_1,2021-02-10,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-02-10_HV_2,2021-02-10,HV,2020-21,12,60.0,58.416809830291875,1,2,1,False
2021-02-10_HV_3,2021-02-10,HV,2020-21,12,60.0,59.883688483821054,1,2,1,False
2021-02-10_HV_4,2021-02-10,HV,2020-21,8,60.0,136.40896987876542,3,3,1,False
